timestamp,phase,speed_kmh,event,elapsed_seconds,datetime,seconds_only,Violation,Coordinates
1028.880000114,4,50.56,SPEED_VIOLATION,1028.880000114,1970-01-01 00:17:08.880000114,8,Speed 50.56 km/h > limit 30.00 km/h ,"(x=-23.010351, y=126.826752, z=0.001552)"
1087.350000143,4,57.2,SPEED_VIOLATION,1087.350000143,1970-01-01 00:18:07.350000143,7,Speed 57.20 km/h > limit 30.00 km/h ,"(x=-72.353851, y=128.105347, z=0.043786)"
1094.75999999,4,41.22,SPEED_VIOLATION,1094.75999999,1970-01-01 00:18:14.759999990,14,Speed 41.22 km/h > limit 30.00 km/h ,"(x=-142.933945, y=111.756592, z=0.001758)"
1103.740000009,4,62.35,SPEED_VIOLATION,1103.740000009,1970-01-01 00:18:23.740000009,23,Speed 62.35 km/h > limit 30.00 km/h ,"(x=-144.685577, y=69.734177, z=0.001571)"
1109.029999971,4,28.71,RED_LIGHT_VIOLATION,1109.029999971,1970-01-01 00:18:29.029999971,29,TrafficLight Violation ,"(x=-131.794724, y=-0.796277, z=0.001708)"
1109.580000162,4,31.54,RED_LIGHT_VIOLATION,1109.580000162,1970-01-01 00:18:29.580000162,29,TrafficLight Violation ,"(x=-128.446625, y=-0.998222, z=0.001709)"
1110.590000152,4,37.27,SPEED_VIOLATION,1110.590000152,1970-01-01 00:18:30.590000152,30,Speed 37.27 km/h > limit 30.00 km/h ,"(x=-119.317543, y=-0.847071, z=0.001737)"
1125.529999971,4,45.64,SPEED_VIOLATION,1125.529999971,1970-01-01 00:18:45.529999970,45,Speed 45.64 km/h > limit 30.00 km/h ,"(x=-71.628464, y=-48.002102, z=-0.544762)"
1139.840000152,4,46.46,SPEED_VIOLATION,1139.840000152,1970-01-01 00:18:59.840000152,59,Speed 46.46 km/h > limit 30.00 km/h ,"(x=-55.262863, y=-133.249207, z=0.001658)"
1151.440000057,4,44.39,SPEED_VIOLATION,1151.440000057,1970-01-01 00:19:11.440000057,11,Speed 44.39 km/h > limit 30.00 km/h ,"(x=-5.087235, y=-107.914673, z=0.001671)"
1204.029999971,4,563.04,PHASE_STOP,1204.029999971,1970-01-01 00:20:04.029999971,4,Assisted-AH,
1204.029999971,4,563.04,PHASE_STOP,1204.029999971,1970-01-01 00:20:04.029999971,4,Assisted-AH,
