Participant,AH,AO,HO,NC
1,20.0,20.0,20.0,20.0
2,45.0,40.0,65.0,45.0
3,30.0,20.0,20.0,20.0
4,80.0,55.0,80.0,65.0
5,80.0,80.0,90.0,80.0
6,10.0,20.0,15.0,5.0
7,10.0,10.0,10.0,10.0
8,60.0,70.0,70.0,70.0
9,30.0,30.0,30.0,40.0
10,15.0,15.0,20.0,15.0
11,15.0,15.0,10.0,15.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
16,25.0,0.0,20.0,0.0
17,20.0,55.0,55.0,30.0
18,20.0,0.0,0.0,20.0
19,65.0,65.0,65.0,65.0
20,30.0,45.0,55.0,40.0
