Participant,AH,AO,HO,NC
1,20.0,10.0,10.0,20.0
2,60.0,75.0,80.0,60.0
3,20.0,20.0,20.0,20.0
4,80.0,50.0,75.0,55.0
5,80.0,80.0,90.0,80.0
6,15.0,15.0,25.0,0.0
7,10.0,10.0,10.0,10.0
8,70.0,80.0,80.0,80.0
9,30.0,30.0,50.0,20.0
10,20.0,10.0,25.0,10.0
11,5.0,5.0,10.0,5.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
16,50.0,50.0,50.0,50.0
17,25.0,15.0,20.0,20.0
18,80.0,40.0,20.0,80.0
19,50.0,50.0,50.0,50.0
20,40.0,50.0,70.0,40.0
