Participant,AH,AO,HO,NC
1,60.0,20.0,20.0,30.0
2,60.0,35.0,55.0,60.0
3,10.0,15.0,10.0,10.0
4,60.0,35.0,50.0,20.0
5,20.0,10.0,20.0,10.0
6,0.0,20.0,5.0,0.0
7,10.0,20.0,20.0,15.0
8,70.0,70.0,70.0,70.0
9,75.0,80.0,85.0,60.0
10,10.0,30.0,15.0,10.0
11,30.0,30.0,40.0,65.0
12,100.0,100.0,100.0,100.0
13,10.0,10.0,10.0,10.0
16,0.0,0.0,0.0,20.0
17,0.0,0.0,0.0,0.0
18,40.0,40.0,20.0,60.0
19,25.0,15.0,15.0,40.0
20,35.0,35.0,25.0,30.0
