Participant,AH,AO,HO,NC
1,50.0,30.0,30.0,70.0
2,70.0,95.0,100.0,70.0
3,40.0,20.0,20.0,20.0
4,60.0,35.0,50.0,20.0
5,20.0,10.0,20.0,10.0
6,30.0,55.0,40.0,20.0
7,10.0,10.0,10.0,10.0
8,60.0,70.0,70.0,70.0
9,80.0,75.0,75.0,60.0
10,45.0,50.0,50.0,20.0
11,25.0,25.0,35.0,50.0
12,0.0,0.0,0.0,0.0
13,10.0,10.0,10.0,10.0
16,40.0,60.0,80.0,85.0
17,5.0,5.0,5.0,5.0
18,80.0,40.0,20.0,60.0
19,65.0,65.0,65.0,65.0
20,30.0,30.0,40.0,30.0
