Participant,AH,AO,HO,NC
1,80.0,45.0,45.0,80.0
2,60.0,80.0,90.0,60.0
3,60.0,25.0,30.0,20.0
4,80.0,20.0,20.0,20.0
5,20.0,10.0,20.0,10.0
6,85.0,85.0,80.0,50.0
7,15.0,30.0,40.0,20.0
8,80.0,70.0,70.0,70.0
9,20.0,35.0,45.0,40.0
10,25.0,100.0,60.0,15.0
11,10.0,10.0,10.0,0.0
12,100.0,20.0,100.0,50.0
13,20.0,20.0,20.0,20.0
16,0.0,0.0,0.0,20.0
17,0.0,60.0,30.0,0.0
18,60.0,40.0,20.0,60.0
19,70.0,50.0,70.0,5.0
20,75.0,95.0,95.0,65.0
