Participant,Task Id,Task Name,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Raw Score,MD Weight,PD Weight,TD Weight,PF Weight,EF Weight,FR Weight,Weighted Score
20,1,HO,70,55,10,25,40,95,49.166666666666664,-1,-1,-1,-1,-1,-1,-1
20,2,AO,50,45,10,35,30,95,44.166666666666664,-1,-1,-1,-1,-1,-1,-1
20,3,NC,40,40,15,30,30,65,36.666666666666664,-1,-1,-1,-1,-1,-1,-1
20,4,AH,40,30,30,35,30,75,40,-1,-1,-1,-1,-1,-1,-1
