Participant,Task Id,Task Name,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Raw Score,MD Weight,PD Weight,TD Weight,PF Weight,EF Weight,FR Weight,Weighted Score
18,1,NC,80,20,20,60,60,60,50,-1,-1,-1,-1,-1,-1,-1
18,2,AH,80,20,40,40,80,60,53.333333333333336,-1,-1,-1,-1,-1,-1,-1
18,3,AO,40,0,20,40,40,40,30,-1,-1,-1,-1,-1,-1,-1
18,4,HO,20,0,20,20,20,20,16.666666666666668,-1,-1,-1,-1,-1,-1,-1
