timestamp,phase,scenario,speed_kmh,event,details
1771692348.4,3,START,0,PHASE_START,Assisted-H
1771693041.45,1,START,0,PHASE_START,Baseline
1771693062.7,1,STOP,21.25,PHASE_STOP,Baseline
1771693062.7,1,STOP,21.25,PHASE_STOP,Baseline
1771693108.41,3,START,0,PHASE_START,Assisted-H
1771693330.8,3,TRAFFIC_LIGHT,8.23,RED_LIGHT_VIOLATION,"TrafficLight Violation at Location(x=-60.244564, y=-2.705027, z=0.001801)"
1771693333.83,3,TRAFFIC_LIGHT,2.58,REACTION,"action=NO_REACTION|time=3.04s|control={'throttle': 0.34797292947769165, 'brake': 0.0, 'steer': 0.046257928013801575, 'hand_brake': False}"
1771693365.72,3,SPEED_LIMIT,37.52,SPEED_VIOLATION,"Speed 37.52 km/h > limit 30.00 km/h at Location(x=-58.190781, y=-193.668472, z=0.001759)"
1771693365.72,3,SPEED_LIMIT,36.87,REACTION,"action=VIOLATION_RESOLVED|time=0.27s|reaction_logged=False|control={'throttle': 0.34797292947769165, 'brake': 0.0, 'steer': 0.14022105932235718, 'hand_brake': False}"
1771693374.91,3,SPEED_LIMIT,38.34,SPEED_VIOLATION,"Speed 38.34 km/h > limit 30.00 km/h at Location(x=13.082534, y=-193.197220, z=0.001777)"
1771693374.91,3,SPEED_LIMIT,36.81,REACTION,"action=VIOLATION_RESOLVED|time=1.39s|reaction_logged=False|control={'throttle': 0.34797292947769165, 'brake': 0.0, 'steer': 0.004095481708645821, 'hand_brake': False}"
1771693379.44,3,TRAFFIC_LIGHT,25.14,RED_LIGHT_VIOLATION,"TrafficLight Violation at Location(x=65.374901, y=-195.504211, z=0.001862)"
1771693380.8,3,TRAFFIC_LIGHT,20.63,REACTION,"action=STEER_CHANGE|time=1.35s|control={'throttle': 0.3325749933719635, 'brake': 0.0, 'steer': 0.321119099855423, 'hand_brake': False}"
1771693388.6,3,TRAFFIC_LIGHT,18.38,RED_LIGHT_VIOLATION,"TrafficLight Violation at Location(x=82.457764, y=-150.507248, z=7.211579)"
1771693391.73,3,TRAFFIC_LIGHT,35.03,REACTION,"action=NO_REACTION|time=3.14s|control={'throttle': 0.3681296706199646, 'brake': 0.0, 'steer': 0.0005371094448491931, 'hand_brake': False}"
1771693410.01,3,SPEED_LIMIT,38.09,REACTION,"action=REDUCE_THROTTLE|time=0.50s|control={'throttle': 0.0, 'brake': 0.0, 'steer': -0.016719086095690727, 'hand_brake': False}"
1771693410.11,3,SPEED_LIMIT,38.1,SPEED_VIOLATION,"Speed 38.10 km/h > limit 30.00 km/h at Location(x=54.834675, y=-7.570141, z=0.001753)"
1771693410.11,3,SPEED_LIMIT,36.72,REACTION,"action=VIOLATION_RESOLVED|time=0.60s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.0, 'steer': -0.01685340143740177, 'hand_brake': False}"
1771693425.05,3,SPEED_LIMIT,37.74,SPEED_VIOLATION,"Speed 37.74 km/h > limit 30.00 km/h at Location(x=114.887009, y=8.696137, z=0.001806)"
1771693425.05,3,SPEED_LIMIT,36.89,REACTION,"action=VIOLATION_RESOLVED|time=1.56s|reaction_logged=False|control={'throttle': 0.38787513971328735, 'brake': 0.0, 'steer': 0.0037262134719640017, 'hand_brake': False}"
1771693441.44,3,SPEED_LIMIT,38.35,REACTION,"action=REDUCE_THROTTLE|time=0.32s|control={'throttle': 0.3116556704044342, 'brake': 0.0, 'steer': -0.015342390164732933, 'hand_brake': False}"
1771693442.01,3,SPEED_LIMIT,38.35,SPEED_VIOLATION,"Speed 38.35 km/h > limit 30.00 km/h at Location(x=233.254150, y=24.620966, z=0.003372)"
1771693442.01,3,SPEED_LIMIT,36.81,REACTION,"action=VIOLATION_RESOLVED|time=0.89s|reaction_logged=True|control={'throttle': 0.4167760908603668, 'brake': 0.0, 'steer': 0.0669025257229805, 'hand_brake': False}"
1771693446.92,3,SPEED_LIMIT,45.81,SPEED_VIOLATION,"Speed 45.81 km/h > limit 30.00 km/h at Location(x=234.490067, y=59.056942, z=0.010510)"
1771693446.92,3,SPEED_LIMIT,46.28,REACTION,"action=VIOLATION_RESOLVED|time=2.41s|reaction_logged=False|control={'throttle': 0.5618590712547302, 'brake': 0.0, 'steer': 0.0023834274616092443, 'hand_brake': False}"
1771693462.13,3,SPEED_LIMIT,100.53,REACTION,"action=REDUCE_THROTTLE|time=0.25s|control={'throttle': 0.3428674638271332, 'brake': 0.0, 'steer': -0.00208130176179111, 'hand_brake': False}"
1771693463.55,3,SPEED_LIMIT,101.26,SPEED_VIOLATION,"Speed 101.26 km/h > limit 60.00 km/h at Location(x=93.218056, y=197.700760, z=1.153129)"
1771693463.55,3,SPEED_LIMIT,64.01,REACTION,"action=VIOLATION_RESOLVED|time=1.67s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.0, 'steer': -0.002484136028215289, 'hand_brake': False}"
1771693465.01,3,SPEED_LIMIT,52.02,SPEED_VIOLATION,"Speed 52.02 km/h > limit 30.00 km/h at Location(x=44.635410, y=197.693100, z=0.124919)"
1771693465.01,3,SPEED_LIMIT,36.43,REACTION,"action=VIOLATION_RESOLVED|time=0.92s|reaction_logged=False|control={'throttle': 0.0, 'brake': 0.0, 'steer': 0.004599031526595354, 'hand_brake': False}"
1771693471.33,3,SPEED_LIMIT,45.22,REACTION,"action=REDUCE_THROTTLE|time=1.62s|control={'throttle': 0.3829764127731323, 'brake': 0.0, 'steer': 0.029448816552758217, 'hand_brake': False}"
1771693472.29,3,SPEED_LIMIT,45.28,SPEED_VIOLATION,"Speed 45.28 km/h > limit 30.00 km/h at Location(x=6.344128, y=184.956848, z=0.001685)"
