timestamp,phase,scenario,speed_kmh,event,details
1771674628.36,1,START,0,PHASE_START,Baseline
1771674703.5,1,SPEED_LIMIT,48.85,REACTION,"action=REDUCE_THROTTLE|time=0.91s|control={'throttle': 0.15095092356204987, 'brake': 0.0, 'steer': -0.03334670141339302, 'hand_brake': False}"
1771674704.37,1,SPEED_LIMIT,49.25,SPEED_VIOLATION,"Speed 49.25 km/h > limit 30.00 km/h at Location(x=-81.915405, y=2.790143, z=-0.003983)"
1771674704.37,1,SPEED_LIMIT,36.46,REACTION,"action=VIOLATION_RESOLVED|time=1.78s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.31692805886268616, 'steer': -0.05473902449011803, 'hand_brake': False}"
1771674716.79,1,SPEED_LIMIT,40.06,REACTION,"action=REDUCE_THROTTLE|time=0.65s|control={'throttle': 0.30635443329811096, 'brake': 0.0, 'steer': -0.14813680946826935, 'hand_brake': False}"
1771674717.19,1,SPEED_LIMIT,40.37,SPEED_VIOLATION,"Speed 40.37 km/h > limit 30.00 km/h at Location(x=-149.922470, y=65.212112, z=0.001852)"
1771674717.19,1,SPEED_LIMIT,36.06,REACTION,"action=VIOLATION_RESOLVED|time=1.05s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.0, 'steer': -0.1726541519165039, 'hand_brake': False}"
1771674846.87,1,SPEED_LIMIT,58.45,REACTION,"action=REDUCE_THROTTLE|time=2.76s|control={'throttle': 0.0, 'brake': 0.0, 'steer': -0.004364041145890951, 'hand_brake': False}"
1771674848.32,1,SPEED_LIMIT,58.53,SPEED_VIOLATION,"Speed 58.53 km/h > limit 30.00 km/h at Location(x=-3.605478, y=137.299942, z=0.001626)"
1771674848.32,1,SPEED_LIMIT,36.47,REACTION,"action=VIOLATION_RESOLVED|time=4.21s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.0, 'steer': 0.0101718595251441, 'hand_brake': False}"
1771674855.83,1,SPEED_LIMIT,49.54,REACTION,"action=REDUCE_THROTTLE|time=1.98s|control={'throttle': 0.40724417567253113, 'brake': 0.0, 'steer': 0.007385388016700745, 'hand_brake': False}"
1771674857.07,1,SPEED_LIMIT,49.7,SPEED_VIOLATION,"Speed 49.70 km/h > limit 30.00 km/h at Location(x=83.500206, y=136.794907, z=0.071324)"
1771674857.07,1,SPEED_LIMIT,34.78,REACTION,"action=VIOLATION_RESOLVED|time=3.22s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.15095092356204987, 'steer': -0.024308985099196434, 'hand_brake': False}"
1771674863.58,1,SPEED_LIMIT,51.21,REACTION,"action=REDUCE_THROTTLE|time=2.46s|control={'throttle': 0.3681296706199646, 'brake': 0.0, 'steer': -0.05672576650977135, 'hand_brake': False}"
1771674864.55,1,SPEED_LIMIT,51.87,SPEED_VIOLATION,"Speed 51.87 km/h > limit 30.00 km/h at Location(x=146.226685, y=130.960648, z=0.449437)"
1771674864.56,1,SPEED_LIMIT,36.48,REACTION,"action=VIOLATION_RESOLVED|time=3.44s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.36312973499298096, 'steer': -0.07236714661121368, 'hand_brake': False}"
1771674873.53,1,SPEED_LIMIT,41.89,REACTION,"action=REDUCE_THROTTLE|time=0.53s|control={'throttle': 0.11922751367092133, 'brake': 0.0, 'steer': 0.051137033849954605, 'hand_brake': False}"
1771674874.34,1,SPEED_LIMIT,43.63,SPEED_VIOLATION,"Speed 43.63 km/h > limit 30.00 km/h at Location(x=182.677872, y=65.859825, z=0.000244)"
1771674874.34,1,SPEED_LIMIT,34.59,REACTION,"action=VIOLATION_RESOLVED|time=1.34s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.1062411218881607, 'steer': 0.051103375852108, 'hand_brake': False}"
1771674890.28,1,SPEED_LIMIT,40.15,SPEED_VIOLATION,"Speed 40.15 km/h > limit 30.00 km/h at Location(x=230.933121, y=82.303711, z=0.100983)"
