timestamp,phase,scenario,speed_kmh,event,details
1771641730.71,2,START,0,PHASE_START,Assisted-A
1771641903.35,2,START,0,PHASE_START,Assisted-A
1771642119.84,2,START,0,PHASE_START,Assisted-A
1771642293.49,2,TRAFFIC_LIGHT,13.41,YELLOW_LIGHT_PASS,"Passed yellow at Location(x=-9.819968, y=117.616257, z=0.001491)"
1771642308.39,2,TRAFFIC_LIGHT,8.51,RED_LIGHT_VIOLATION,"TrafficLight Violation at Location(x=-60.985458, y=132.074554, z=0.001772)"
1771642308.59,2,TRAFFIC_LIGHT,7.27,REACTION,"action=BRAKE|time=0.20s|control={'throttle': 0.0, 'brake': 0.2460176646709442, 'steer': 0.012488442473113537, 'hand_brake': False}"
1771642376.13,2,TRAFFIC_LIGHT,9.29,RED_LIGHT_VIOLATION,"TrafficLight Violation at Location(x=239.715851, y=85.778679, z=0.139145)"
1771642377.06,2,TRAFFIC_LIGHT,6.39,REACTION,"action=BRAKE|time=0.93s|control={'throttle': 0.0, 'brake': 0.138386070728302, 'steer': 0.004431181121617556, 'hand_brake': False}"
1771642414.96,2,SPEED_LIMIT,43.94,REACTION,"action=REDUCE_THROTTLE|time=0.64s|control={'throttle': 0.45854470133781433, 'brake': 0.0, 'steer': -0.01930476538836956, 'hand_brake': False}"
1771642415.79,2,SPEED_LIMIT,44.48,SPEED_VIOLATION,"Speed 44.48 km/h > limit 30.00 km/h at Location(x=242.440353, y=-32.075665, z=0.001625)"
1771642415.79,2,SPEED_LIMIT,35.61,REACTION,"action=VIOLATION_RESOLVED|time=1.47s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.0, 'steer': 0.023805154487490654, 'hand_brake': False}"
1771642421.6,2,SPEED_LIMIT,38.95,REACTION,"action=REDUCE_THROTTLE|time=0.20s|control={'throttle': 0.29027414321899414, 'brake': 0.0, 'steer': -0.016081098467111588, 'hand_brake': False}"
1771642422.02,2,SPEED_LIMIT,39.29,SPEED_VIOLATION,"Speed 39.29 km/h > limit 30.00 km/h at Location(x=244.040878, y=-85.384636, z=0.001661)"
1771642422.03,2,SPEED_LIMIT,36.3,REACTION,"action=VIOLATION_RESOLVED|time=0.62s|reaction_logged=True|control={'throttle': 0.0, 'brake': 0.0, 'steer': 0.013999327085912228, 'hand_brake': False}"
1771642506.76,2,TRAFFIC_LIGHT,7.11,RED_LIGHT_VIOLATION,"TrafficLight Violation at Location(x=85.281494, y=-118.320007, z=8.001585)"
1771642507.17,2,TRAFFIC_LIGHT,9.49,REACTION,"action=REDUCE_THROTTLE|time=0.41s|control={'throttle': 0.0, 'brake': 0.0, 'steer': 0.042154461145401, 'hand_brake': False}"
1771642614.47,2,STOP,494.63,PHASE_STOP,Assisted-A
1771642614.47,2,STOP,494.63,PHASE_STOP,Assisted-A
1771642797.01,3,START,0,PHASE_START,Assisted-H
1771643138.37,3,START,0,PHASE_START,Assisted-H
1771643331.8,3,START,0,PHASE_START,Assisted-H
1771643582.13,3,START,0,PHASE_START,Assisted-H
1771643854.84,3,START,0,PHASE_START,Assisted-H
1771644090.38,3,SPEED_LIMIT,68.65,REACTION,"action=REDUCE_THROTTLE|time=1.47s|control={'throttle': 0.0, 'brake': 0.0, 'steer': 0.010709027759730816, 'hand_brake': False}"
1771644090.86,3,SPEED_LIMIT,70.27,SPEED_VIOLATION,"Speed 70.27 km/h > limit 30.00 km/h at Location(x=-6.901673, y=-70.826988, z=0.001297)"
