timestamp,phase,scenario,speed_kmh,event,details
1771927976.17,4,START,0,PHASE_START,Assisted-AH
1771927977.1,4,WEBSOCKET,0.0,WS_SEND,"{""phase"": 4, ""speed"": 0.0, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.15,4,WEBSOCKET,0.0,WS_SEND,"{""phase"": 4, ""speed"": 0.0, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.21,4,WEBSOCKET,0.0,WS_SEND,"{""phase"": 4, ""speed"": 0.0, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.26,4,WEBSOCKET,0.0,WS_SEND,"{""phase"": 4, ""speed"": 0.0, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.31,4,WEBSOCKET,0.0,WS_SEND,"{""phase"": 4, ""speed"": 0.0, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.36,4,WEBSOCKET,0.0,WS_SEND,"{""phase"": 4, ""speed"": 0.0, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.42,4,WEBSOCKET,0.0,WS_SEND,"{""phase"": 4, ""speed"": 0.0, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.48,4,WEBSOCKET,0.0,WS_SEND,"{""phase"": 4, ""speed"": 0.0, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.54,4,WEBSOCKET,1.75,WS_SEND,"{""phase"": 4, ""speed"": 1.75, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.58,4,WEBSOCKET,1.75,WS_SEND,"{""phase"": 4, ""speed"": 1.75, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.63,4,WEBSOCKET,1.75,WS_SEND,"{""phase"": 4, ""speed"": 1.75, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.68,4,WEBSOCKET,1.92,WS_SEND,"{""phase"": 4, ""speed"": 1.92, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.74,4,WEBSOCKET,1.92,WS_SEND,"{""phase"": 4, ""speed"": 1.92, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.78,4,WEBSOCKET,1.92,WS_SEND,"{""phase"": 4, ""speed"": 1.92, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.83,4,WEBSOCKET,1.92,WS_SEND,"{""phase"": 4, ""speed"": 1.92, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.88,4,WEBSOCKET,1.92,WS_SEND,"{""phase"": 4, ""speed"": 1.92, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.93,4,WEBSOCKET,1.92,WS_SEND,"{""phase"": 4, ""speed"": 1.92, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927977.99,4,WEBSOCKET,1.88,WS_SEND,"{""phase"": 4, ""speed"": 1.88, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.05,4,WEBSOCKET,1.88,WS_SEND,"{""phase"": 4, ""speed"": 1.88, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.1,4,WEBSOCKET,1.74,WS_SEND,"{""phase"": 4, ""speed"": 1.74, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.15,4,WEBSOCKET,1.7,WS_SEND,"{""phase"": 4, ""speed"": 1.7, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.2,4,WEBSOCKET,1.67,WS_SEND,"{""phase"": 4, ""speed"": 1.67, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.25,4,WEBSOCKET,1.61,WS_SEND,"{""phase"": 4, ""speed"": 1.61, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.31,4,WEBSOCKET,1.61,WS_SEND,"{""phase"": 4, ""speed"": 1.61, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.36,4,WEBSOCKET,1.61,WS_SEND,"{""phase"": 4, ""speed"": 1.61, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.41,4,WEBSOCKET,1.61,WS_SEND,"{""phase"": 4, ""speed"": 1.61, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.48,4,WEBSOCKET,1.49,WS_SEND,"{""phase"": 4, ""speed"": 1.49, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.53,4,WEBSOCKET,1.47,WS_SEND,"{""phase"": 4, ""speed"": 1.47, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.58,4,WEBSOCKET,1.46,WS_SEND,"{""phase"": 4, ""speed"": 1.46, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.63,4,WEBSOCKET,1.43,WS_SEND,"{""phase"": 4, ""speed"": 1.43, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.68,4,WEBSOCKET,1.43,WS_SEND,"{""phase"": 4, ""speed"": 1.43, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.73,4,WEBSOCKET,1.43,WS_SEND,"{""phase"": 4, ""speed"": 1.43, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.78,4,WEBSOCKET,1.4,WS_SEND,"{""phase"": 4, ""speed"": 1.4, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.83,4,WEBSOCKET,1.32,WS_SEND,"{""phase"": 4, ""speed"": 1.32, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.88,4,WEBSOCKET,1.28,WS_SEND,"{""phase"": 4, ""speed"": 1.28, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.93,4,WEBSOCKET,1.26,WS_SEND,"{""phase"": 4, ""speed"": 1.26, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927978.98,4,WEBSOCKET,1.26,WS_SEND,"{""phase"": 4, ""speed"": 1.26, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927979.03,4,WEBSOCKET,1.26,WS_SEND,"{""phase"": 4, ""speed"": 1.26, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927979.08,4,WEBSOCKET,1.24,WS_SEND,"{""phase"": 4, ""speed"": 1.24, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927979.13,4,WEBSOCKET,1.16,WS_SEND,"{""phase"": 4, ""speed"": 1.16, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927979.18,4,WEBSOCKET,1.13,WS_SEND,"{""phase"": 4, ""speed"": 1.13, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927979.24,4,WEBSOCKET,1.1,WS_SEND,"{""phase"": 4, ""speed"": 1.1, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927979.29,4,WEBSOCKET,1.1,WS_SEND,"{""phase"": 4, ""speed"": 1.1, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927979.35,4,WEBSOCKET,1.1,WS_SEND,"{""phase"": 4, ""speed"": 1.1, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
1771927979.4,4,WEBSOCKET,1.08,WS_SEND,"{""phase"": 4, ""speed"": 1.08, ""speed_limit"": 30, ""overspeed"": false, ""alert"": null}"
